"lang"
{
	"Language"	"Polish"
		"DOTA_Tooltip_ability_creature_death_pulse_area_of_effect"                                     "OBSZAR DZIAŁANIA:"
		"DOTA_Tooltip_ability_creature_death_pulse_heal"                                               "LECZ:"
		"DOTA_Tooltip_ability_creature_death_pulse_projectile_speed"                                   "PRĘDKOŚĆ POCISKU:"
		"DOTA_Tooltip_ability_xhs_creeps_phase_2_endurance_aura_endurance_bonus_movement_speed"        "PREMIA DO PRĘDKOŚCI RUCHU% WYTRZYMAŁOŚCI:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_outgoing_damage"                            "% OBRAŻEŃ WYCHODZĄCYCH:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_incoming_damage"                            "% NADCHODZĄCYCH OBRAŻEŃ:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_invuln_duration"                            "CZAS TRWANIA INWULNY:"
		"DOTA_Tooltip_ability_grom_hellscream_bladefury_blade_fury_damage_tick"                        "TYK OBRAŻEŃ FURY OSTRZY:"
		"DOTA_Tooltip_ability_grom_hellscream_bladefury_blade_fury_damage"                             "OBRAŻENIA FURII OSTRZY:"
		"DOTA_Tooltip_ability_divine_aura_bonus_attack_speed"                                          "DODATKOWA PRĘDKOŚĆ ATAKU:"
		"DOTA_Tooltip_ability_arthas_knights_armor_damage_reduction"                                   "% REDUKCJI OBRAŻEŃ:"
		"DOTA_Tooltip_ability_arthas_light_roar_radius"                                                "PROMIEŃ:"
		"DOTA_Tooltip_ability_creature_starfall_starfall_delay"                                        "OPÓŹNIENIE GWIAZDY:"
		"DOTA_Tooltip_ability_holdout_requiem_radius"                                                  "PROMIEŃ:"
		"DOTA_Tooltip_ability_holdout_requiem_reduction_damage"                                        "%REDUKCJI OBRAŻEŃ:"
		"DOTA_Tooltip_ability_holdout_requiem_soul_conversion"                                         "NAWRÓCENIE DUSZY:"
		"DOTA_Tooltip_ability_holdout_requiem_line_width_start"                                        "POCZĄTEK SZEROKOŚCI LINII:"
		"DOTA_Tooltip_ability_holdout_requiem_line_width_end"                                          "KONIEC SZEROKOŚCI LINII:"
		"DOTA_Tooltip_ability_holdout_requiem_line_speed"                                              "PRĘDKOŚĆ LINII:"
		"DOTA_Tooltip_ability_holdout_odin_percentage_over_model_scale"                                "%PROCENT W SKALI MODELU:"
		"DOTA_Tooltip_ability_holdout_sacred_pool_tick_rate"                                           "WSPÓŁCZYNNIK TICKOWANIA:"
		"DOTA_Tooltip_ability_holdout_healing_ward_Description"                                        "Przywołuje kontrolowaną jednostkę.Poniżej znajdują się wartości dotyczące czasu trwania i statystyk jednostek."
		"DOTA_Tooltip_ability_holdout_healing_ward_aura_radius"                                        "PROMIeń AURY:"
		"DOTA_Tooltip_ability_holdout_healing_ward_bonus_health_regen"                                 "PREMIOWA REGENERACJA ZDROWIA:"
		"DOTA_Tooltip_ability_holdout_devour_health_per_second"                                        "ZDROWIE NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_holdout_static_remnant_static_remnant_radius"                            "STATYCZNY PROMIeń POZOSTAŁOŚCI:"
		"DOTA_Tooltip_ability_holdout_static_remnant_static_remnant_delay"                             "STATYCZNE OPÓŹNIENIE POZOSTAŁE:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_aoe"                                          "Obszar działania:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_move_slow"                                    "%WOLNY RUCH:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_attack_slow"                                  "ZWOLNIENIE PRĘDKOŚCI ATAKU:"
		"DOTA_Tooltip_ability_holdout_spirit_int_transformation_time"                                  "CZAS TRANSFORMACJI:"
		"DOTA_Tooltip_ability_holdout_spirit_str_transformation_time"                                  "CZAS TRANSFORMACJI:"
		"DOTA_Tooltip_ability_holdout_spirit_agi_transformation_time"                                  "CZAS TRANSFORMACJI:"
		"DOTA_Tooltip_ability_creature_firestorm_wave_duration"                                        "CZAS TRWANIA FALI:"
		"DOTA_Tooltip_ability_creature_firestorm_burn_interval"                                        "INTERWAŁ PALENIA:"
		"DOTA_Tooltip_ability_creature_firestorm_first_wave_delay"                                     "OPÓŹNIENIE PIERWSZEJ FALI:"
		"DOTA_Tooltip_ability_demonhunter_immolation_tick_time"                                        "WSPÓŁCZYNNIK TICKOWANIA:"
		"DOTA_Tooltip_ability_demonhunter_immolation_small_tick_time"                                  "WSPÓŁCZYNNIK TICKOWANIA:"
		"DOTA_Tooltip_ability_demonhunter_roar"                                                        "Ryk Łowcy Demonów"
		"DOTA_Tooltip_ability_demonhunter_roar_Description"                                            "Zmusza pobliskich wrogów do ucieczki na krótki czas."
		"DOTA_Tooltip_ability_demonhunter_roar_radius"                                                 "PROMIEŃ:"
		"DOTA_Tooltip_ability_demonhunter_roar_bonus_damage_percentage"                                "%BONUSOWY PROCENT OBRAŻEŃ:"
		"DOTA_Tooltip_ability_demonhunter_roar_armor_bonus"                                            "PREMIA DO PANCERZA:"
		"DOTA_Tooltip_ability_demonhunter_roar_duration"                                               "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_duration"                                          "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_golem_duration"                                    "CZAS TRWANIA GOLEMA:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_seek_radius"                                       "SZUKAJ PROMIENIA:"
		"DOTA_Tooltip_ability_undead_disease_cloud"                                                    "Chmura Nieumarłych Chorób"
		"DOTA_Tooltip_ability_undead_disease_cloud_Description"                                        "Rozprzestrzenia chmurę choroby, która z czasem zadaje obrażenia pobliskim wrogom."
		"DOTA_Tooltip_ability_undead_disease_cloud_radius"                                             "PROMIEŃ:"
		"DOTA_Tooltip_ability_undead_disease_cloud_damage_per_second"                                  "OBRAŻENIA NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_undead_disease_cloud_debuff_duration"                                    "CZAS TRWANIA DEBUFFU:"
		"DOTA_Tooltip_ability_banehallow_stampede_time_between_skulls"                                 "CZAS MIĘDZY CZASZKAMI:"
		"DOTA_Tooltip_ability_banehallow_stampede_duration"                                            "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_creature_chronosphere_base_radius"                                       "PROMIeń PODSTAWOWY:"
		"DOTA_Tooltip_ability_creature_chronosphere_movement_speed"                                    "PRĘDKOŚĆ RUCHU:"
		"DOTA_Tooltip_ability_furbolg_earthshock_radius"                                               "PROMIEŃ:"
		"DOTA_Tooltip_ability_furbolg_earthshock_duration"                                             "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_furbolg_earthshock_base_damage"                                          "OBRAŻENIA PODSTAWOWE:"
		"DOTA_Tooltip_ability_furbolg_earthshock_slow_pct"                                             "%WOLNE:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_pull_units_per_second"           "ELEKTRYCZNE JEDNOSTKI WIROWE NA SEKUNDĘ:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_pull_tether_range"               "ZAKRES ELEKTRYCZNEGO UWIĄZANIA WIROWEGO:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_self_slow"                       "%WIR ELEKTRYCZNY SAMOWOLNY:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_self_slow_duration"              "CZAS SAMOWOLNOŚCI WIRU ELEKTRYCZNEGO:"
		"DOTA_Tooltip_ability_frostivus_boss_necromastery"                                             "Nekromistrzostwo"
		"DOTA_Tooltip_ability_frostivus_boss_necromastery_Description"                                 "Umiejętność szefa.Dokładny czas, obrażenia i skalowanie znajdziesz w poniższych wartościach."
		"DOTA_Tooltip_ability_frostivus_boss_immolation"                                               "Ofiara"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_Description"                                   "Umiejętność szefa.Dokładny czas, obrażenia i skalowanie znajdziesz w poniższych wartościach."
		"DOTA_Tooltip_ability_frostivus_boss_immolation_damage"                                        "OBRAŻENIA:"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_radius"                                        "PROMIEŃ:"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_delay"                                         "OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade"                                              "Ragna Ostrze"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_Description"                                  "Umiejętność szefa.Dokładny czas, obrażenia i skalowanie znajdziesz w poniższych wartościach."
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_damage_pct"                                   "% OBRAŻEŃ:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_delay"                                        "OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_target_amount"                                "Kwota docelowa:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain"                                                "Meteorowy deszcz"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_Description"                                    "Umiejętność szefa.Dokładny czas, obrażenia i skalowanie znajdziesz w poniższych wartościach."
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_damage"                                         "OBRAŻENIA:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_radius"                                         "PROMIEŃ:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_delay"                                          "OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_duration"                                       "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_spawn_delay"                                    "OPÓŹNIENIE POWSTANIA:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_spawn_amount"                                   "ILOŚĆ SPAWNA:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_stun_duration"                                  "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze"                                               "Shadowraze"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_Description"                                   "Umiejętność szefa.Dokładny czas, obrażenia i skalowanie znajdziesz w poniższych wartościach."
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_damage"                                        "OBRAŻENIA:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_radius"                                        "PROMIEŃ:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_delay"                                         "OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_spawn_distance"                                "ODLEGŁOŚĆ POJAWIENIA SIĘ:"
		"DOTA_Tooltip_ability_frostivus_boss_soul_harvest"                                             "Żniwa dusz"
		"DOTA_Tooltip_ability_frostivus_boss_soul_harvest_Description"                                 "Umiejętność szefa.Dokładny czas, obrażenia i skalowanie znajdziesz w poniższych wartościach."
		"DOTA_Tooltip_ability_frostivus_boss_nevermore"                                                "Diabeł Cienia"
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_Description"                                    "Umiejętność szefa.Dokładny czas, obrażenia i skalowanie znajdziesz w poniższych wartościach."
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_delay"                                          "OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_duration"                                       "CZAS TRWANIA:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls"                                         "Requiem Dusz"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_Description"                             "Umiejętność szefa.Dokładny czas, obrażenia i skalowanie znajdziesz w poniższych wartościach."
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_delay"                                   "OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_damage"                                  "OBRAŻENIA:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_line_amount"                             "KWOTA LINII:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_distance"                                "ODLEGŁOŚĆ:"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_projectile_cone"                                "STOŻEK POCZUCIA:"
		"DOTA_Tooltip_ability_holdout_empower_cleave_pct"                                              "% ROZCIĄGNIJ:"
		"DOTA_Tooltip_ability_holdout_empower_radius"                                                  "PROMIEŃ:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent"                                                     "Kunkka Torrent"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_Description"                                         "Aktywuje Kunkka Torrent.Dokładne efekty można znaleźć w poniższych wartościach."
		"DOTA_Tooltip_ability_imba_kunkka_torrent_radius"                                              "PROMIEŃ:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_main_slow"                                           "%GŁÓWNE WOLNE:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_slow_duration"                                       "CZAS WOLNOŚCI:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_stun_duration"                                       "CZAS Ogłuszenia:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_damage"                                              "OBRAŻENIA:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tick_count"                                          "LICZBA TYKÓW:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_torrent_height"                                      "WYSOKOŚĆ TORRENTA:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tide_low_range"                                      "NISKI ZAKRES pływów:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tide_red_slow"                                       "%WOLNOŚĆ CZERWONEGO PRZYPŁYWU:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tide_flood_damage"                                   "USZKODZENIA POWODZIĄ:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tide_high_radius"                                    "WYSOKI PROMIEŃ PRZYPŁYWÓW:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_launch_delay"                                        "OPÓŹNIENIE URUCHOMIENIA:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_total_delay_tooltip"                                 "CAŁKOWITE OPÓŹNIENIE:"
		"DOTA_Tooltip_ability_imba_kunkka_ghostship"                                                   "Kunkka Statek widmo"
