"lang"
{
	"Language"	"Turkish"
		"DOTA_Tooltip_ability_holdout_requiem_radius"                                                     "YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_requiem_reduction_damage"                                           "HASAR %AZALMASI:"
		"DOTA_Tooltip_ability_holdout_requiem_soul_conversion"                                            "RUH DÖNÜŞÜMÜ:"
		"DOTA_Tooltip_ability_holdout_requiem_line_width_start"                                           "HAT GENİŞLİĞİ BAŞLANGIÇ:"
		"DOTA_Tooltip_ability_holdout_requiem_line_width_end"                                             "ÇİZGİ GENİŞLİĞİ SONU:"
		"DOTA_Tooltip_ability_holdout_requiem_line_speed"                                                 "HAT HIZI:"
		"DOTA_Tooltip_ability_holdout_odin_percentage_over_model_scale"                                   "MODEL ÖLÇEĞİNDE %YÜZDE:"
		"DOTA_Tooltip_ability_holdout_sacred_pool_tick_rate"                                              "TİK ORANI:"
		"DOTA_Tooltip_ability_holdout_healing_ward_Description"                                           "Kontrollü bir birimi çağırır.Süre ve birim istatistikleri için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_holdout_healing_ward_aura_radius"                                           "AURA YARIÇAPI:"
		"DOTA_Tooltip_ability_holdout_healing_ward_bonus_health_regen"                                    "BONUS SAĞLIK YENİLENMESİ:"
		"DOTA_Tooltip_ability_holdout_devour_health_per_second"                                           "SANİYE BAŞINA SAĞLIK:"
		"DOTA_Tooltip_ability_holdout_static_remnant_static_remnant_radius"                               "STATİK KALAN YARIÇAP:"
		"DOTA_Tooltip_ability_holdout_static_remnant_static_remnant_delay"                                "STATİK KALAN GECİKMESİ:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_aoe"                                             "Etki alanı:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_move_slow"                                       "%HAREKET YAVAŞ:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_attack_slow"                                     "SALDIRI HIZI YAVAŞLAMASI:"
		"DOTA_Tooltip_ability_holdout_spirit_int_transformation_time"                                     "DÖNÜŞÜM ZAMANI:"
		"DOTA_Tooltip_ability_holdout_spirit_str_transformation_time"                                     "DÖNÜŞÜM ZAMANI:"
		"DOTA_Tooltip_ability_holdout_spirit_agi_transformation_time"                                     "DÖNÜŞÜM ZAMANI:"
		"DOTA_Tooltip_ability_creature_firestorm_wave_duration"                                           "DALGA SÜRESİ:"
		"DOTA_Tooltip_ability_creature_firestorm_burn_interval"                                           "YANIK ARALIĞI:"
		"DOTA_Tooltip_ability_creature_firestorm_first_wave_delay"                                        "İLK DALGA GECİKMESİ:"
		"DOTA_Tooltip_ability_demonhunter_immolation_tick_time"                                           "TİK ORANI:"
		"DOTA_Tooltip_ability_demonhunter_immolation_small_tick_time"                                     "TİK ORANI:"
		"DOTA_Tooltip_ability_demonhunter_roar"                                                           "İblis Avcısı Kükremesi"
		"DOTA_Tooltip_ability_demonhunter_roar_Description"                                               "Yakındaki düşmanları kısa bir süreliğine kaçmaya zorlar."
		"DOTA_Tooltip_ability_demonhunter_roar_radius"                                                    "YARIÇAP:"
		"DOTA_Tooltip_ability_demonhunter_roar_bonus_damage_percentage"                                   "%BONUS HASAR YÜZDESİ:"
		"DOTA_Tooltip_ability_demonhunter_roar_armor_bonus"                                               "ZIRH BONUSU:"
		"DOTA_Tooltip_ability_demonhunter_roar_duration"                                                  "SÜRE:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_duration"                                             "SÜRE:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_golem_duration"                                       "GOLEM SÜRESİ:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_seek_radius"                                          "YARIÇAP ARAYIN:"
		"DOTA_Tooltip_ability_undead_disease_cloud"                                                       "Ölümsüz Hastalık Bulutu"
		"DOTA_Tooltip_ability_undead_disease_cloud_Description"                                           "Zamanla yakındaki düşmanlara zarar veren bir hastalık bulutu yayar."
		"DOTA_Tooltip_ability_undead_disease_cloud_radius"                                                "YARIÇAP:"
		"DOTA_Tooltip_ability_undead_disease_cloud_damage_per_second"                                     "SANİYE BAŞINA HASAR:"
		"DOTA_Tooltip_ability_undead_disease_cloud_debuff_duration"                                       "DEBFF SÜRESİ:"
		"DOTA_Tooltip_ability_banehallow_stampede_time_between_skulls"                                    "KAFATASI ARASINDAKİ ZAMAN:"
		"DOTA_Tooltip_ability_banehallow_stampede_duration"                                               "SÜRE:"
		"DOTA_Tooltip_ability_creature_chronosphere_base_radius"                                          "TABAN YARIÇAPI:"
		"DOTA_Tooltip_ability_creature_chronosphere_movement_speed"                                       "HAREKET HIZI:"
		"DOTA_Tooltip_ability_furbolg_earthshock_radius"                                                  "YARIÇAP:"
		"DOTA_Tooltip_ability_furbolg_earthshock_duration"                                                "SÜRE:"
		"DOTA_Tooltip_ability_furbolg_earthshock_base_damage"                                             "TABAN HASARI:"
		"DOTA_Tooltip_ability_furbolg_earthshock_slow_pct"                                                "%YAVAŞ:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_pull_units_per_second"              "SANİYE BAŞINA ELEKTRİK VORTEKS ÇEKME BİRİMLERİ:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_pull_tether_range"                  "ELEKTRİKLİ VORTEX ÇEKME BAĞLANTI ARALIĞI:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_self_slow"                          "%ELEKTRİK VORTEKS KENDİNİ YAVAŞLAT:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_self_slow_duration"                 "ELEKTRİK VORTEKS KENDİNİ YAVAŞLATMA SÜRESİ:"
		"DOTA_Tooltip_ability_frostivus_boss_necromastery"                                                "Nekro ustalık"
		"DOTA_Tooltip_ability_frostivus_boss_necromastery_Description"                                    "Patron yeteneği.Kesin zamanlama, hasar ve ölçeklendirme için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_frostivus_boss_immolation"                                                  "kurban etme"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_Description"                                      "Patron yeteneği.Kesin zamanlama, hasar ve ölçeklendirme için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_frostivus_boss_immolation_damage"                                           "HASAR:"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_radius"                                           "YARIÇAP:"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_delay"                                            "GECİKME:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade"                                                 "Ragna Kılıcı"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_Description"                                     "Patron yeteneği.Kesin zamanlama, hasar ve ölçeklendirme için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_damage_pct"                                      "%HASAR:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_delay"                                           "GECİKME:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_target_amount"                                   "HEDEF MİKTARI:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain"                                                   "Meteor Yağmuru"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_Description"                                       "Patron yeteneği.Kesin zamanlama, hasar ve ölçeklendirme için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_damage"                                            "HASAR:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_radius"                                            "YARIÇAP:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_delay"                                             "GECİKME:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_duration"                                          "SÜRE:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_spawn_delay"                                       "DOĞMA GECİKMESİ:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_spawn_amount"                                      "DOĞAN MİKTARI:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_stun_duration"                                     "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze"                                                  "Gölgeleme"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_Description"                                      "Patron yeteneği.Kesin zamanlama, hasar ve ölçeklendirme için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_damage"                                           "HASAR:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_radius"                                           "YARIÇAP:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_delay"                                            "GECİKME:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_spawn_distance"                                   "DOĞMA MESAFESİ:"
		"DOTA_Tooltip_ability_frostivus_boss_soul_harvest"                                                "Ruh Hasadı"
		"DOTA_Tooltip_ability_frostivus_boss_soul_harvest_Description"                                    "Patron yeteneği.Kesin zamanlama, hasar ve ölçeklendirme için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_frostivus_boss_nevermore"                                                   "Gölge Şeytanı"
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_Description"                                       "Patron yeteneği.Kesin zamanlama, hasar ve ölçeklendirme için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_delay"                                             "GECİKME:"
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_duration"                                          "SÜRE:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls"                                            "Ruhların Ağıtı"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_Description"                                "Patron yeteneği.Kesin zamanlama, hasar ve ölçeklendirme için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_delay"                                      "GECİKME:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_damage"                                     "HASAR:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_line_amount"                                "HAT MİKTARI:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_distance"                                   "MESAFE:"
		"DOTA_Tooltip_ability_ghost_revenant_blackjack_projectile_cone"                                   "PROJEKTİL KONİSİ:"
		"DOTA_Tooltip_ability_holdout_empower_cleave_pct"                                                 "%YARILMA:"
		"DOTA_Tooltip_ability_holdout_empower_radius"                                                     "YARIÇAP:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent"                                                        "Kunkka Sel"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_Description"                                            "Etkinleştirir Kunkka Torrent.Kesin etkiler için aşağıdaki değerlere bakın."
		"DOTA_Tooltip_ability_imba_kunkka_torrent_radius"                                                 "YARIÇAP:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_main_slow"                                              "%ANA YAVAŞ:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_slow_duration"                                          "YAVAŞLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_stun_duration"                                          "ŞOKLAMA SÜRESİ:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_damage"                                                 "HASAR:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tick_count"                                             "TİK SAYISI:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_torrent_height"                                         "TOPRAK YÜKSEKLİĞİ:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tide_low_range"                                         "Gelgit DÜŞÜK ARALIK:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tide_red_slow"                                          "%TIDE KIRMIZI YAVAŞ:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tide_flood_damage"                                      "Gelgit su baskını hasarı:"
		"DOTA_Tooltip_ability_imba_kunkka_torrent_tide_high_radius"                                       "Gelgit YÜKSEK YARIÇAPI:"
