"lang"
{
	"Language"	"Vietnamese"
		"DOTA_Tooltip_ability_creature_death_pulse_Description"                                           "Kích hoạt xung tử thần.Xem các giá trị dưới đây để biết hiệu ứng chính xác."
		"DOTA_Tooltip_ability_creature_death_pulse_area_of_effect"                                        "KHU VỰC TÁC DỤNG:"
		"DOTA_Tooltip_ability_creature_death_pulse_heal"                                                  "CHỮA LÀNH:"
		"DOTA_Tooltip_ability_creature_death_pulse_projectile_speed"                                      "TỐC ĐỘ ĐẠN:"
		"DOTA_Tooltip_ability_xhs_creeps_phase_2_endurance_aura_endurance_bonus_movement_speed"           "TỐC ĐỘ DI CHUYỂN THƯỞNG % SỨC BỀN:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_outgoing_damage"                               "% THIỆT HẠI ĐI:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_incoming_damage"                               "% THIỆT HẠI ĐẾN:"
		"DOTA_Tooltip_ability_grom_hellscream_mirror_image_invuln_duration"                               "THỜI GIAN TUYỆT VỜI:"
		"DOTA_Tooltip_ability_grom_hellscream_bladefury_blade_fury_damage_tick"                           "DẪN THIỆT HẠI BLADE FURY:"
		"DOTA_Tooltip_ability_grom_hellscream_bladefury_blade_fury_damage"                                "THIỆT HẠI BLADE FURY:"
		"DOTA_Tooltip_ability_divine_aura_bonus_attack_speed"                                             "TỐC ĐỘ ĐÁNH THƯỞNG:"
		"DOTA_Tooltip_ability_arthas_knights_armor_damage_reduction"                                      "GIẢM % THIỆT HẠI:"
		"DOTA_Tooltip_ability_arthas_light_roar_radius"                                                   "BÁN KÍNH:"
		"DOTA_Tooltip_ability_creature_starfall_starfall_delay"                                           "TRÌ HOÃN SAO:"
		"DOTA_Tooltip_ability_holdout_requiem_radius"                                                     "BÁN KÍNH:"
		"DOTA_Tooltip_ability_holdout_requiem_reduction_damage"                                           "% THIỆT HẠI GIẢM GIÁ:"
		"DOTA_Tooltip_ability_holdout_requiem_soul_conversion"                                            "CHUYỂN ĐỔI LINH HỒN:"
		"DOTA_Tooltip_ability_holdout_requiem_line_width_start"                                           "CHIỀU RỘNG ĐƯỜNG BẮT ĐẦU:"
		"DOTA_Tooltip_ability_holdout_requiem_line_width_end"                                             "CHIỀU RỘNG ĐƯỜNG KẾT THÚC:"
		"DOTA_Tooltip_ability_holdout_requiem_line_speed"                                                 "TỐC ĐỘ ĐƯỜNG DÂY:"
		"DOTA_Tooltip_ability_holdout_odin_percentage_over_model_scale"                                   "% PHẦN TRĂM TRÊN QUY MÔ MÔ HÌNH:"
		"DOTA_Tooltip_ability_holdout_sacred_pool_tick_rate"                                              "TỶ LỆ TICK:"
		"DOTA_Tooltip_ability_holdout_healing_ward_Description"                                           "Triệu tập một đơn vị được kiểm soát.Xem các giá trị bên dưới để biết số liệu thống kê về thời lượng và đơn vị."
		"DOTA_Tooltip_ability_holdout_healing_ward_aura_radius"                                           "Bán kính hào quang:"
		"DOTA_Tooltip_ability_holdout_healing_ward_bonus_health_regen"                                    "THƯỞNG PHỤC HỒI SỨC KHỎE:"
		"DOTA_Tooltip_ability_holdout_devour_health_per_second"                                           "SỨC KHỎE MỖI GIÂY:"
		"DOTA_Tooltip_ability_holdout_static_remnant_static_remnant_radius"                               "BÁNH QUÀ TUYỆT VỜI TUYỆT VỜI:"
		"DOTA_Tooltip_ability_holdout_static_remnant_static_remnant_delay"                                "ĐỘ TRỄ TUYỆT VỜI TUYỆT VỜI:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_aoe"                                             "AOE:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_move_slow"                                       "% CHUYỂN ĐỘNG CHẬM:"
		"DOTA_Tooltip_ability_xhs_spirit_master_overload_attack_slow"                                     "TỐC ĐỘ ĐÁNH CHẬM:"
		"DOTA_Tooltip_ability_holdout_spirit_int_transformation_time"                                     "THỜI GIAN CHUYỂN ĐỔI:"
		"DOTA_Tooltip_ability_holdout_spirit_str_transformation_time"                                     "THỜI GIAN CHUYỂN ĐỔI:"
		"DOTA_Tooltip_ability_holdout_spirit_agi_transformation_time"                                     "THỜI GIAN CHUYỂN ĐỔI:"
		"DOTA_Tooltip_ability_creature_firestorm_wave_duration"                                           "THỜI GIAN SÓNG:"
		"DOTA_Tooltip_ability_creature_firestorm_burn_interval"                                           "KHOẢNG CÁCH ĐỐT:"
		"DOTA_Tooltip_ability_creature_firestorm_first_wave_delay"                                        "TRÌ HOÃN SÓNG ĐẦU TIÊN:"
		"DOTA_Tooltip_ability_demonhunter_immolation_tick_time"                                           "TỶ LỆ TICK:"
		"DOTA_Tooltip_ability_demonhunter_immolation_small_tick_time"                                     "TỶ LỆ TICK:"
		"DOTA_Tooltip_ability_demonhunter_roar"                                                           "Thợ săn quỷ gầm lên"
		"DOTA_Tooltip_ability_demonhunter_roar_Description"                                               "Buộc kẻ địch ở gần phải bỏ chạy trong thời gian ngắn."
		"DOTA_Tooltip_ability_demonhunter_roar_radius"                                                    "BÁN KÍNH:"
		"DOTA_Tooltip_ability_demonhunter_roar_bonus_damage_percentage"                                   "%Tỷ lệ THƯỞNG THƯỞNG THIỆT HẠI:"
		"DOTA_Tooltip_ability_demonhunter_roar_armor_bonus"                                               "TIỀN THƯỞNG GIÁP:"
		"DOTA_Tooltip_ability_demonhunter_roar_duration"                                                  "THỜI GIAN:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_duration"                                             "THỜI GIAN:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_golem_duration"                                       "THỜI GIAN CỦA GOLEM:"
		"DOTA_Tooltip_ability_balanar_rain_of_chaos_seek_radius"                                          "TÌM KIẾM BÁNH GIÁ:"
		"DOTA_Tooltip_ability_undead_disease_cloud"                                                       "Đám mây bệnh tật bất tử"
		"DOTA_Tooltip_ability_undead_disease_cloud_Description"                                           "Phát tán đám mây bệnh tật gây sát thương cho kẻ địch ở gần theo thời gian."
		"DOTA_Tooltip_ability_undead_disease_cloud_radius"                                                "BÁN KÍNH:"
		"DOTA_Tooltip_ability_undead_disease_cloud_damage_per_second"                                     "SÁT THƯƠNG MỖI GIÂY:"
		"DOTA_Tooltip_ability_undead_disease_cloud_debuff_duration"                                       "THỜI GIAN GỠ BỎ:"
		"DOTA_Tooltip_ability_banehallow_stampede_time_between_skulls"                                    "THỜI GIAN GIỮA CÁC Sọ:"
		"DOTA_Tooltip_ability_banehallow_stampede_duration"                                               "THỜI GIAN:"
		"DOTA_Tooltip_ability_creature_chronosphere_base_radius"                                          "BÁNH CƠ SỞ:"
		"DOTA_Tooltip_ability_creature_chronosphere_movement_speed"                                       "TỐC ĐỘ DI CHUYỂN:"
		"DOTA_Tooltip_ability_furbolg_earthshock_radius"                                                  "BÁN KÍNH:"
		"DOTA_Tooltip_ability_furbolg_earthshock_duration"                                                "THỜI GIAN:"
		"DOTA_Tooltip_ability_furbolg_earthshock_base_damage"                                             "THIỆT HẠI CƠ BẢN:"
		"DOTA_Tooltip_ability_furbolg_earthshock_slow_pct"                                                "% CHẬM:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_pull_units_per_second"              "ĐƠN VỊ KÉO ĐIỆN VORTEX MỖI GIÂY:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_pull_tether_range"                  "PHẠM VI KÉO ĐIỆN VORTEX:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_self_slow"                          "% ĐIỆN XOAY TỰ CHẬM:"
		"DOTA_Tooltip_ability_holdout_electric_vortex_electric_vortex_self_slow_duration"                 "THỜI GIAN XOAY ĐIỆN TỰ CHẬM:"
		"DOTA_Tooltip_ability_frostivus_boss_necromastery"                                                "thuật chiêu hồn"
		"DOTA_Tooltip_ability_frostivus_boss_necromastery_Description"                                    "Khả năng của ông chủ.Xem các giá trị bên dưới để biết chính xác thời gian, sát thương và tỷ lệ."
		"DOTA_Tooltip_ability_frostivus_boss_immolation"                                                  "Thiêu sống"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_Description"                                      "Khả năng của ông chủ.Xem các giá trị bên dưới để biết chính xác thời gian, sát thương và tỷ lệ."
		"DOTA_Tooltip_ability_frostivus_boss_immolation_damage"                                           "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_radius"                                           "BÁN KÍNH:"
		"DOTA_Tooltip_ability_frostivus_boss_immolation_delay"                                            "TRÌ HOÃN:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade"                                                 "Lưỡi Ragna"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_Description"                                     "Khả năng của ông chủ.Xem các giá trị bên dưới để biết chính xác thời gian, sát thương và tỷ lệ."
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_damage_pct"                                      "% THIỆT HẠI:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_delay"                                           "TRÌ HOÃN:"
		"DOTA_Tooltip_ability_frostivus_boss_ragna_blade_target_amount"                                   "SỐ TIỀN MỤC TIÊU:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain"                                                   "Mưa sao băng"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_Description"                                       "Khả năng của ông chủ.Xem các giá trị bên dưới để biết chính xác thời gian, sát thương và tỷ lệ."
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_damage"                                            "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_radius"                                            "BÁN KÍNH:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_delay"                                             "TRÌ HOÃN:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_duration"                                          "THỜI GIAN:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_spawn_delay"                                       "TRÌ HOÃN ĐĂNG NHẬP:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_spawn_amount"                                      "SỐ LƯỢNG ĐANG XUẤT HIỆN:"
		"DOTA_Tooltip_ability_frostivus_boss_meteorain_stun_duration"                                     "THỜI GIAN CHOÁNG:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze"                                                  "Bóng tối"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_Description"                                      "Khả năng của ông chủ.Xem các giá trị bên dưới để biết chính xác thời gian, sát thương và tỷ lệ."
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_damage"                                           "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_radius"                                           "BÁN KÍNH:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_delay"                                            "TRÌ HOÃN:"
		"DOTA_Tooltip_ability_frostivus_boss_shadowraze_spawn_distance"                                   "KHOẢNG CÁCH ĐÁNH GIÁ:"
		"DOTA_Tooltip_ability_frostivus_boss_soul_harvest"                                                "Thu hoạch linh hồn"
		"DOTA_Tooltip_ability_frostivus_boss_soul_harvest_Description"                                    "Khả năng của ông chủ.Xem các giá trị bên dưới để biết chính xác thời gian, sát thương và tỷ lệ."
		"DOTA_Tooltip_ability_frostivus_boss_nevermore"                                                   "Ác quỷ bóng tối"
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_Description"                                       "Khả năng của ông chủ.Xem các giá trị bên dưới để biết chính xác thời gian, sát thương và tỷ lệ."
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_delay"                                             "TRÌ HOÃN:"
		"DOTA_Tooltip_ability_frostivus_boss_nevermore_duration"                                          "THỜI GIAN:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls"                                            "Cầu hồn của linh hồn"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_Description"                                "Khả năng của ông chủ.Xem các giá trị bên dưới để biết chính xác thời gian, sát thương và tỷ lệ."
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_delay"                                      "TRÌ HOÃN:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_damage"                                     "SÁT THƯƠNG:"
		"DOTA_Tooltip_ability_frostivus_boss_requiem_of_souls_line_amount"                                "SỐ LƯỢNG DÒNG:"
